surface,molecule,functional,E_ads_DFT,E_ads_ML,delta_eV,source_commit
Ag111,NO,pbe_d3,-1.46,-0.54,+0.92,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,NO,r2scan,-2.15,-0.54,+1.61,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,O2,pbe,-0.71,-0.09,+0.62,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,SO2,pbe,-0.77,-0.28,+0.49,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,SO2,pbe_d3,-1.22,-0.28,+0.94,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,acetaldehyde,pbe,-0.72,-0.41,+0.30,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,acetaldehyde,pbe_d3,-0.98,-0.41,+0.57,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,acetaldehyde,r2scan,-1.33,-0.41,+0.92,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,acetic_acid,r2scan,-1.48,-0.47,+1.01,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,ethane,pbe,-1.221,-0.27,+0.947,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,ethane,pbe_d3,-1.478,-0.27,+1.204,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,ethane,r2scan,-2.168,-0.27,+1.894,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,ethanol,pbe,-1.317,-0.38,+0.941,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,ethanol,pbe_d3,-1.654,-0.38,+1.278,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,ethanol,r2scan,-2.29,-0.38,+1.91,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,ethene,pbe,-0.72,-0.17,+0.55,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,ethene,pbe_d3,-1.09,-0.17,+0.92,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,ethene,r2scan,-1.31,-0.17,+1.15,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,formaldehyde,pbe,-0.72,-0.26,+0.46,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,formaldehyde,pbe_d3,-0.90,-0.26,+0.64,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,formate,pbe,-3.21,-1.98,+1.23,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,formate,pbe_d3,-3.57,-1.98,+1.59,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,formate,r2scan,-4.34,-1.98,+2.36,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,formic_acid,pbe,-0.81,-0.34,+0.48,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,formic_acid,pbe_d3,-1.14,-0.34,+0.80,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,formic_acid,r2scan,-1.48,-0.34,+1.15,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,glycerol,pbe,-1.40,-0.58,+0.82,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,glycerol,pbe_d3,-2.02,-0.58,+1.44,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,glycerol,r2scan,-2.46,-0.58,+1.88,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,isopropanol,pbe,-1.33,-0.41,+0.92,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,isopropanol,pbe_d3,-1.81,-0.41,+1.39,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,isopropanol,r2scan,-2.39,-0.41,+1.98,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,methane,pbe,-0.70,-0.39,+0.31,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,methane,pbe_d3,-0.86,-0.39,+0.47,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,methane,r2scan,-1.27,-0.39,+0.87,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,methanol,pbe,-0.79,-0.33,+0.46,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,methanol,pbe_d3,-1.09,-0.33,+0.76,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,methanol,r2scan,-1.39,-0.33,+1.06,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,propane,pbe,-1.23,-0.28,+0.95,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,propane,pbe_d3,-1.56,-0.28,+1.28,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,propane,r2scan,-2.20,-0.28,+1.92,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,propanol,pbe,-1.35,-0.39,+0.96,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,propanol,pbe_d3,-1.80,-0.39,+1.42,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,propanol,r2scan,-2.38,-0.39,+1.99,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,propene,pbe,-1.26,-0.18,+1.08,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,propene,pbe_d3,-1.73,-0.18,+1.56,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,propene,r2scan,-2.23,-0.18,+2.05,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,CH3,pbe,-1.28,-1.79,-0.51,11b026e8de754c84d5b784e3036e0063b5e3c391
