name,surface,molecule,n_metal,n_mol,old_energy,old_functional,new_energy,functional,mode,status,complex_snapshot_id
Au110_H2O,Au110,H2O,64,3,-0.087,r2scan,,,,no validated size-matched selection,
Au110_H2S,Au110,H2S,64,3,0.038,r2scan,,,,no validated size-matched selection,
Au110_N2,Au110,N2,64,2,0.133,r2scan,,,,no validated size-matched selection,
Au110_NH3,Au110,NH3,64,4,-0.547,r2scan,,,,no validated size-matched selection,
Au110_NO,Au110,NO,64,2,-1.079,r2scan,,,,no validated size-matched selection,
Au110_NO2,Au110,NO2,64,3,-3.943,r2scan,,,,no validated size-matched selection,
Au110_SO2,Au110,SO2,64,3,-0.383,r2scan,,,,no validated size-matched selection,
Au110_THF,Au110,THF,64,13,0.357,r2scan,,,,no validated size-matched selection,
Au110_acetal,Au110,acetal,64,22,0.431,r2scan,,,,no validated size-matched selection,
Au110_acetaldehyde,Au110,acetaldehyde,64,7,0.415,r2scan,,,,no validated size-matched selection,
Au110_acetic_acid,Au110,acetic_acid,64,8,-0.258,r2scan,,,,no validated size-matched selection,
Au110_acetone,Au110,acetone,64,10,0.476,r2scan,,,,no validated size-matched selection,
Au110_acetophenone,Au110,acetophenone,64,17,0.412,r2scan,,,,no validated size-matched selection,
Au110_alpha-D-glucopyranose,Au110,alpha-D-glucopyranose,64,24,-1.029,r2scan,,,,no validated size-matched selection,
Au110_angelica_lactone,Au110,angelica_lactone,64,13,0.395,r2scan,,,,no validated size-matched selection,
Au110_aniline,Au110,aniline,64,14,0.208,r2scan,,,,no validated size-matched selection,
Au110_benzaldehyde,Au110,benzaldehyde,64,14,0.356,r2scan,,,,no validated size-matched selection,
Au110_benzene,Au110,benzene,64,12,0.365,r2scan,,,,no validated size-matched selection,
Au110_butadiene,Au110,butadiene,64,10,-0.614,r2scan,,,,no validated size-matched selection,
Au110_butanal,Au110,butanal,64,13,0.283,r2scan,,,,no validated size-matched selection,
Au110_butane,Au110,butane,64,14,0.305,r2scan,,,,no validated size-matched selection,
Au110_butyric_acid,Au110,butyric_acid,64,14,0.501,r2scan,,,,no validated size-matched selection,
Au110_caproic_acid,Au110,caproic_acid,64,20,0.358,r2scan,,,,no validated size-matched selection,
