surface,molecule,functional,mode,old_E_ads,new_E_ads,reason
Pt100,N2,beef_vdw,SPE,,-34.07535112,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt100,NH3,pbe,SPE,,-1.41597909,Perlmutter first
Pt100,NH3,pbe_d3,SPE,,-1.66595207,Perlmutter first
Pt100,NH3,r2scan,SPE,,-1.80908329,Perlmutter first
Pt100,NH3,beef_vdw,SPE,,-34.74005392,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt100,NO,pbe,SPE,,-2.97213064,Perlmutter first
Pt100,NO,pbe_d3,SPE,,-3.14818814,Perlmutter first
Pt100,NO,beef_vdw,SPE,,-42.80009214,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt100,SO2,pbe,SPE,,-1.69410608,Perlmutter first
Pt100,SO2,pbe_d3,SPE,,-2.25041448,Perlmutter first
Pt100,SO2,r2scan,SPE,,-2.30279326,Perlmutter first
Pt100,SO2,beef_vdw,SPE,,-35.15254883,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt100,ethene,pbe,SPE,-1.123,-1.49457966,Perlmutter first
Pt100,ethene,r2scan,SPE,-1.384,-2.02515271,Perlmutter first
Pt100,ethene,beef_vdw,SPE,-1.151,-34.94925632,Perlmutter energy review retained; Kestrel structure equivalence unverified
Pt100,formaldehyde,pbe,SPE,,-1.14713608,Perlmutter first
Pt100,formaldehyde,pbe_d3,SPE,,-1.46725736,Perlmutter first
Pt100,formaldehyde,r2scan,SPE,,-1.61904984,Perlmutter first
Pt100,formaldehyde,beef_vdw,SPE,,-34.46759673,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt100,formic_acid,pbe,SPE,,-0.85037042,Perlmutter first
Pt100,formic_acid,pbe_d3,SPE,,-1.19589368,Perlmutter first
Pt100,formic_acid,r2scan,SPE,,-1.27008707,Perlmutter first
Pt100,formic_acid,beef_vdw,SPE,,-34.27300193,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt100,methane,pbe,SPE,,-0.41274416,Perlmutter first
Pt100,methane,pbe_d3,SPE,,-0.65366102,Perlmutter first
Pt100,methane,r2scan,SPE,,-0.75728652,Perlmutter first
Pt100,methane,beef_vdw,SPE,,-33.92151909,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt110,CO,pbe,SPE,,-2.50730614,Perlmutter first
Pt110,CO,pbe_d3,SPE,,-2.80065390,Perlmutter first
Pt110,CO,r2scan,SPE,,-2.66988483,Perlmutter first
Pt110,CO,beef_vdw,SPE,,-24.67733296,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt110,CO2,pbe,SPE,-0.014,-0.27804201,Perlmutter first
Pt110,CO2,r2scan,SPE,0.041,-0.41238217,Perlmutter first
Pt110,CO2,beef_vdw,SPE,-0.184,-22.81922048,Perlmutter energy review retained; Kestrel structure equivalence unverified
Pt110,DME,pbe,relaxed,,-0.68049075,Perlmutter first
Pt110,DME,pbe,SPE,,-0.60267227,Perlmutter first
Pt110,DME,pbe_d3,relaxed,,-1.36698084,Perlmutter first
Pt110,DME,pbe_d3,SPE,,-1.23148258,Perlmutter first
Pt110,H2O,pbe,SPE,,-0.66555829,Perlmutter first
Pt110,H2O,pbe_d3,SPE,,-0.94455410,Perlmutter first
Pt110,H2O,r2scan,SPE,,-0.90018904,Perlmutter first
Pt110,H2O,beef_vdw,SPE,,-22.97668071,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt110,H2S,pbe,SPE,,-2.40813882,Perlmutter first
Pt110,H2S,pbe_d3,SPE,,-2.91062705,Perlmutter first
Pt110,H2S,r2scan,SPE,,-2.76453427,Perlmutter first
Pt110,H2S,beef_vdw,SPE,,-24.67407552,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt110,N2,pbe,SPE,,-0.79710652,Perlmutter first
Pt110,N2,pbe_d3,SPE,,-1.05676243,Perlmutter first
Pt110,N2,r2scan,SPE,,-0.97300069,Perlmutter first
Pt110,N2,beef_vdw,SPE,,-22.99122139,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt110,NH3,pbe,SPE,,-1.32721305,Perlmutter first
Pt110,NH3,pbe_d3,SPE,,-1.66542381,Perlmutter first
Pt110,NH3,r2scan,SPE,,-1.52212158,Perlmutter first
