surface,molecule,functional,mode,E_ads_perlmutter,E_ads_kestrel,complex_total_difference_eV,perlmutter_directory,kestrel_directory,same_structure,geometry_evidence,selection_reason
Ag111,methane,pbe,SPE,0.02704344,0.02704323,2.1E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH4/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,methane,pbe_d3,SPE,0.03882573,0.03882552,2.1E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH4/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,methane,r2scan,SPE,0.12345770,0.12347829,-0.00002059,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH4/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,methane,beef_vdw,SPE,-0.19177726,-0.19178129,0.00000403,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH4/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,methanol,pbe,SPE,-0.06762335,-0.06762348,1.3E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_methanol/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,methanol,pbe_d3,SPE,-0.13552366,-0.13552379,1.3E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_methanol/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,methanol,r2scan,SPE,-0.04580978,-0.04577885,-0.00003093,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_methanol/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,methanol,beef_vdw,SPE,-0.33108360,-0.33107419,-0.00000941,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_methanol/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Au111,CH3,pbe,SPE,-1.23323511,-1.23323139,-0.00000372,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Au111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Au111_CH3/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Au111,CH3,pbe_d3,SPE,-1.28941614,-1.28941242,-0.00000372,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Au111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Au111_CH3/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Au111,CH3,r2scan,SPE,-1.05214908,-1.05214848,-6.0E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Au111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Au111_CH3/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Au111,CH3,beef_vdw,SPE,-1.36465576,-1.36465686,0.00000110,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Au111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Au111_CH3/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Au111,CO,pbe,SPE,-0.07125691,-0.07125681,-1.0E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Au111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Au111_CO/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Au111,CO,pbe_d3,SPE,-0.07447973,-0.07447963,-1.0E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Au111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Au111_CO/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
