surface,molecule,functional,E_ads_DFT_SP,E_ads_ML_SP,delta_SP,ML_minus_SPE_minus_relaxed_DFT,E_ads_ML_relaxed_displayed,E_ads_DFT_relaxed_displayed,provenance,complex_directory
Ag110,CH3,pbe,-1.58261370,-1.77,-0.18738630,1.40761370,-1.77,-1.595,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_CH3/singlepoint/PBE
Ag110,CH3,pbe_d3,-1.76284296,-1.77,-0.00715704,1.78484296,-1.77,-1.792,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_CH3/singlepoint/PBE_D3
Ag110,CH3,r2scan,-1.79332203,-1.77,0.02332203,1.88432203,-1.77,-1.861,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_CH3/singlepoint/r2scan
Ag110,CO,pbe,-0.73656935,-0.57,0.16656935,0.92156935,-0.57,-0.755,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_CO/singlepoint/PBE
Ag110,CO,pbe_d3,-0.90907045,-0.57,0.33907045,1.28307045,-0.57,-0.944,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_CO/singlepoint/PBE_D3
Ag110,CO,r2scan,-1.07175432,-0.57,0.50175432,1.64475432,-0.57,-1.143,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_CO/singlepoint/r2scan
Ag110,CO2,pbe,-0.42126768,-0.39,0.03126768,0.45526768,-0.39,-0.424,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_CO2/singlepoint/PBE
Ag110,CO2,r2scan,-0.76861920,-0.39,0.37861920,1.18061920,-0.39,-0.802,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag110_CO2/singlepoint/r2scan
Ag110,DME,r2scan,-0.83656161,-0.31,0.52656161,1.54456161,-0.31,-1.018,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_DME/singlepoint/r2scan
Ag110,H2,pbe,-0.35974760,-0.27,0.08974760,0.44974760,-0.27,-0.36,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_H2/singlepoint/PBE
