surface,molecule,functional,E_ads_DFT_SP,E_ads_ML_SP,delta_SP,ML_minus_SPE_minus_relaxed_DFT,E_ads_ML_relaxed_displayed,E_ads_DFT_relaxed_displayed,provenance,complex_directory
Ag100,ethane,beef_vdw,-0.186172,-0.294643,-0.108471,,-0.29,,Previously published single-point result,
Ag100,ethanol,pbe,-0.149495,-0.436077,-0.286582,1.019495,-0.44,-1.31,Previously published single-point result,
Ag100,ethanol,pbe_d3,-0.236753,-0.436077,-0.199324,1.456753,-0.44,-1.66,Previously published single-point result,
Ag100,ethanol,r2scan,-0.085159,-0.436077,-0.350918,1.895159,-0.44,-2.25,Previously published single-point result,
Ag100,ethanol,beef_vdw,-0.353607,-0.436077,-0.08247,,-0.44,,Previously published single-point result,
Ag100,ethene,pbe,-0.020847,-0.206692,-0.185845,0.492847,-0.21,-0.682,Previously published single-point result,
Ag100,ethene,pbe_d3,-0.103482,-0.206692,-0.103209,0.952482,-0.21,-1.059,Previously published single-point result,
Ag100,ethene,r2scan,0.060396,-0.206692,-0.267088,0.999604,-0.21,-1.27,Previously published single-point result,
Ag100,ethene,beef_vdw,-0.181867,-0.206692,-0.024825,,-0.21,,Previously published single-point result,
Ag100,formaldehyde,pbe,-0.70405927,-0.32,0.38405927,1.10305927,-0.32,-0.719,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formaldehyde/singlepoint/PBE
Ag100,formaldehyde,pbe_d3,-0.82033294,-0.32,0.50033294,1.43233294,-0.32,-0.932,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formaldehyde/singlepoint/PBE_D3
Ag100,formaldehyde,r2scan,-1.18194194,-0.32,0.86194194,,-0.32,,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formaldehyde/singlepoint/r2scan
Ag100,formate,pbe,-3.60800063,-2.21,1.39800063,5.01800063,-2.21,-3.62,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formate/singlepoint/PBE
Ag100,formate,pbe_d3,-3.84787003,-2.21,1.63787003,5.60787003,-2.21,-3.97,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formate/singlepoint/PBE_D3
Ag100,formate,r2scan,-4.65683122,-2.21,2.44683122,7.22683122,-2.21,-4.78,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formate/singlepoint/r2scan
Ag100,formic_acid,pbe,-0.81340500,-0.40,0.41340500,1.24640500,-0.40,-0.833,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formic_acid/singlepoint/PBE
Ag100,formic_acid,pbe_d3,-1.02567146,-0.40,0.62567146,1.77067146,-0.40,-1.145,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formic_acid/singlepoint/PBE_D3
Ag100,formic_acid,r2scan,-1.32130440,-0.40,0.92130440,2.35130440,-0.40,-1.43,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formic_acid/singlepoint/r2scan
Ag100,glycerol,pbe,-0.117322,-0.682686,-0.565363,0.787322,-0.68,-1.35,Previously published single-point result,
Ag100,glycerol,pbe_d3,-0.430144,-0.682686,-0.252541,1.690144,-0.68,-1.94,Previously published single-point result,
Ag100,glycerol,r2scan,-0.187839,-0.682686,-0.494846,2.057839,-0.68,-2.55,Previously published single-point result,
Ag100,glycerol,beef_vdw,-0.579611,-0.682686,-0.103075,,-0.68,,Previously published single-point result,
Ag100,isopropanol,pbe,-0.77918272,-0.49,0.28918272,1.60918272,-0.49,-1.32,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_isopropanol/singlepoint/PBE
