surface,molecule,functional,system,E_ads_DFT,E_ads_ML,delta_eV
Ag111,ethane,pbe_d3,C2H6_Ag111,-1.478068020000002,-0.274319,1.203749020000002
Ag111,ethane,r2scan,C2H6_Ag111,-2.1684771099998343,-0.274319,1.8941581099998344
Ag111,ethanol,pbe,CH3CH2OH_Ag111,-1.316908809999994,-0.375816,0.941092809999994
Ag111,ethanol,pbe_d3,CH3CH2OH_Ag111,-1.6540605999999798,-0.375816,1.2782445999999799
Au111,CO2,pbe,CO2_Au111,-0.023896060000001995,-0.397263,-0.373366939999998
Cu100,CH3,pbe,CH3_Cu100,-1.2545753000000097,-1.949505,-0.6949296999999903
Cu100,CH3,pbe_d3,CH3_Cu100,-1.6463751900000219,-1.949505,-0.3031298099999782
Cu100,CH3,beef_vdw,CH3_Cu100,-1.2736489600000027,-1.949505,-0.6758560399999973
Cu100,CO,pbe,CO_Cu100,-0.7808095200000036,-1.194466,-0.41365647999999644
Cu100,CO,pbe_d3,CO_Cu100,-1.0274953400000317,-1.194466,-0.1669706599999683
Cu100,CO,beef_vdw,CO_Cu100,-0.6674037300000002,-1.194466,-0.5270622699999998
Cu100,CO2,pbe,CO2_Cu100,-0.03216797000002103,-0.361408,-0.329240029999979
Cu100,CO2,beef_vdw,CO2_Cu100,-0.24292884999999842,-0.361408,-0.11847915000000159
Cu100,DME,beef_vdw,CH3OCH3_Cu100,-0.4863197700000015,-0.274284,0.2120357700000015
Cu100,H2O,pbe,H2O_Cu100,-0.24606787000000097,-0.565491,-0.319423129999999
Cu100,H2O,pbe_d3,H2O_Cu100,-0.47618076000001786,-0.565491,-0.08931023999998211
Cu100,H2O,beef_vdw,H2O_Cu100,-0.3409310000000012,-0.565491,-0.22455999999999876
Cu100,H2S,pbe,H2S_Cu100,-0.2713786900000148,-0.465184,-0.1938053099999852
Cu100,H2S,pbe_d3,H2S_Cu100,-0.7189683900000041,-0.465184,0.25378439000000413
Cu100,H2S,beef_vdw,H2S_Cu100,-0.4162002100000013,-0.465184,-0.048983789999998695
Cu100,N2,pbe,N2_Cu100,-0.017628560000012783,-0.07239,-0.05476143999998721
Cu100,N2,pbe_d3,N2_Cu100,-0.0994312900000267,-0.07239,0.02704129000002671
Cu100,N2,beef_vdw,N2_Cu100,-0.13045042000000073,-0.07239,0.05806042000000074
Cu100,NH3,pbe,NH3_Cu100,-0.571360679999998,-0.902267,-0.3309063200000021
Cu100,NH3,pbe_d3,NH3_Cu100,-0.9034237200000241,-0.902267,0.0011567200000240918
Cu100,NO,pbe,NO_Cu100,-1.7691259600000055,-1.481176,0.2879499600000055
Cu100,NO,pbe_d3,NO_Cu100,-1.988171540000014,-1.481176,0.5069955400000139
Cu100,SO2,pbe,SO2_Cu100,-0.8169160100000212,-1.088884,-0.27196798999997873
Cu100,SO2,pbe_d3,SO2_Cu100,-1.3294529600000082,-1.088884,0.24056896000000827
Cu100,SO2,beef_vdw,SO2_Cu100,-0.9681490100000012,-1.088884,-0.12073498999999877
Cu100,acetaldehyde,pbe,CH3CHO_Cu100,-0.20855316000002944,-0.602451,-0.3938978399999705
Cu100,acetaldehyde,pbe_d3,CH3CHO_Cu100,-0.4874911999999867,-0.602451,-0.11495980000001327
Cu100,acetic_acid,beef_vdw,CH3COOH_Cu100,-0.5459787000000063,-0.745911,-0.19993229999999373
Cu100,ethane,pbe,C2H6_Cu100,-0.013984129999990103,-0.315483,-0.3014988700000099
Cu100,ethane,pbe_d3,C2H6_Cu100,-0.3665745400000233,-0.315483,0.051091540000023306
Cu100,ethane,beef_vdw,C2H6_Cu100,-0.2743323300000071,-0.315483,-0.041150669999992895
Cu100,ethanol,pbe,CH3CH2OH_Cu100,-0.23726780000000502,-0.50312,-0.265852199999995
Cu100,ethanol,pbe_d3,CH3CH2OH_Cu100,-0.7276802399999838,-0.50312,0.22456023999998376
Cu100,ethanol,beef_vdw,CH3CH2OH_Cu100,-0.528059589999998,-0.50312,0.024939589999998013
Cu100,ethene,pbe,C2H4_Cu100,-0.17227711000000312,-0.46664,-0.2943628899999969
Cu100,ethene,pbe_d3,C2H4_Cu100,-0.735691940000013,-0.46664,0.26905194000001303
Cu100,ethene,beef_vdw,C2H4_Cu100,-0.36007392000000493,-0.46664,-0.10656607999999507
Cu100,formaldehyde,pbe,H2CO_Cu100,-0.16751951000000176,-0.442123,-0.27460348999999823
Cu100,formaldehyde,pbe_d3,H2CO_Cu100,-0.4338527500000211,-0.442123,-0.008270249999978885
Cu100,formaldehyde,beef_vdw,H2CO_Cu100,-0.34853753000000154,-0.442123,-0.09358546999999845
Cu100,formic_acid,pbe,HCOOH_Cu100,-0.2753871000000139,-0.530851,-0.2554638999999861
Cu100,formic_acid,pbe_d3,HCOOH_Cu100,-0.6228129500000179,-0.530851,0.09196195000001794
Cu100,formic_acid,beef_vdw,HCOOH_Cu100,-0.45989144000000337,-0.530851,-0.07095955999999659
Cu100,methane,pbe,CH4_Cu100,-0.01583382000001876,-0.424608,-0.4087741799999812
Cu100,methane,pbe_d3,CH4_Cu100,-0.20970956999999046,-0.424608,-0.21489843000000952
Cu100,methane,r2scan,CH4_Cu100,-0.033317969999966834,-0.424608,-0.39129003000003315
Cu100,methane,beef_vdw,CH4_Cu100,-0.19221702000000462,-0.424608,-0.23239097999999536
Cu100,methanol,pbe,CH3OH_Cu100,-0.247230830000003,-0.473202,-0.225971169999997
Cu100,methanol,pbe_d3,CH3OH_Cu100,-0.5906806100000246,-0.473202,0.11747861000002457
Cu100,methanol,beef_vdw,CH3OH_Cu100,-0.4579839800000052,-0.473202,-0.015218019999994836
Cu110,CH3,pbe,CH3_Cu110,-1.2160501499999974,-2.267239,-1.0511888500000026
Cu110,CH3,pbe_d3,CH3_Cu110,-1.5676301899999956,-2.267239,-0.6996088100000044
Cu110,CH3,r2scan,CH3_Cu110,-1.3419564299999713,-2.267239,-0.9252825700000287
Cu110,CO,pbe,CO_Cu110,-0.4851419900000007,-1.349632,-0.8644900099999993
Cu110,CO,pbe_d3,CO_Cu110,-0.710350489999998,-1.349632,-0.639281510000002
Cu110,CO,r2scan,CO_Cu110,-0.6744840599999762,-1.349632,-0.6751479400000238
Cu110,CO2,pbe,CO2_Cu110,0.46157709000000224,-0.407398,-0.8689750900000022
Cu110,DME,r2scan,CH3OCH3_Cu110,-0.028456149999975366,-0.343697,-0.3152408500000246
Cu110,H2O,pbe,H2O_Cu110,0.16105250000000026,-0.707077,-0.8681295000000002
Cu110,H2O,pbe_d3,H2O_Cu110,-0.10226334999999942,-0.707077,-0.6048136500000005
Cu110,H2O,r2scan,H2O_Cu110,-0.047160309999974004,-0.707077,-0.659916690000026
Cu110,H2S,pbe,H2S_Cu110,0.10165299000001049,-0.614415,-0.7160679900000105
Cu110,H2S,pbe_d3,H2S_Cu110,-0.36052751999999444,-0.614415,-0.2538874800000056
Cu110,H2S,r2scan,H2S_Cu110,-0.1012332100000144,-0.614415,-0.5131817899999856
Cu110,N2,pbe,N2_Cu110,0.3551747800000058,-0.249979,-0.6051537800000057
Cu110,N2,pbe_d3,N2_Cu110,0.11670342000000744,-0.249979,-0.36668242000000745
Cu110,N2,r2scan,N2_Cu110,0.18105724000002255,-0.249979,-0.43103624000002255
Cu110,NH3,pbe,NH3_Cu110,-0.14826920999999516,-1.050667,-0.9023977900000049
Cu110,NH3,pbe_d3,NH3_Cu110,-0.47963756999999774,-1.050667,-0.5710294300000023
Cu110,NH3,r2scan,NH3_Cu110,-0.36013350000001054,-1.050667,-0.6905334999999895
Cu110,NO,pbe,NO_Cu110,-1.0222300499999992,-1.566687,-0.5444569500000007
Cu110,NO,pbe_d3,NO_Cu110,-1.2402699000000048,-1.566687,-0.32641709999999513
Cu110,SO2,pbe,SO2_Cu110,-0.6567806099999913,-1.329317,-0.6725363900000088
Cu110,SO2,pbe_d3,SO2_Cu110,-1.182560640000002,-1.329317,-0.14675635999999814
Cu110,SO2,r2scan,SO2_Cu110,-1.4259963899999981,-1.329317,0.09667938999999803
Cu110,acetaldehyde,pbe,CH3CHO_Cu110,0.23968408000001062,-0.750141,-0.9898250800000106
Cu110,acetaldehyde,pbe_d3,CH3CHO_Cu110,-0.07771860999999802,-0.750141,-0.6724223900000019
Cu110,acetaldehyde,r2scan,CH3CHO_Cu110,-0.00989699999999516,-0.750141,-0.7402440000000048
Cu110,acetic_acid,r2scan,CH3COOH_Cu110,-0.22416738999997676,-0.859619,-0.6354516100000233
Cu110,ethane,pbe,C2H6_Cu110,0.47687893999999886,-0.426151,-0.9030299399999988
Cu110,ethane,pbe_d3,C2H6_Cu110,0.2252085699999995,-0.426151,-0.6513595699999994
Cu110,ethane,r2scan,C2H6_Cu110,0.3860523400000133,-0.426151,-0.8122033400000133
Cu110,ethene,pbe,C2H4_Cu110,0.032606020000010005,-0.807285,-0.83989102000001
Cu110,ethene,pbe_d3,C2H4_Cu110,-0.5186564799999935,-0.807285,-0.2886285200000065
Cu110,ethene,r2scan,C2H4_Cu110,-0.2989566300000135,-0.807285,-0.5083283699999865
Cu110,formaldehyde,pbe,H2CO_Cu110,0.24776032000000114,-0.624222,-0.8719823200000012
Cu110,formaldehyde,pbe_d3,H2CO_Cu110,-0.07389067000000438,-0.624222,-0.5503313299999957
Cu110,formaldehyde,r2scan,H2CO_Cu110,0.021786630000008245,-0.624222,-0.6460086300000083
